symbol,direction,model,entry_ts,exit_ts,entry_price,exit_price,size_usdt,pnl,r_value,exit_reason,bars_held
BTC/USDT,long,pullback_long,2022-06-01 06:00:00+00:00,2022-06-01 14:30:00+00:00,31622.28,31192.58857573,40652.48,-552.396,-1.0,sl,17
SOL/USDT,short,swing_low_continuation,2022-06-01 18:30:00+00:00,2022-06-02 00:30:00+00:00,41.8,39.37138896,40143.03,2332.3399,1.5219,tp,12
SOL/USDT,short,swing_low_continuation,2022-06-02 01:00:00+00:00,2022-06-03 12:30:00+00:00,39.63,37.79091505,40959.35,1900.7753,0.8,tp,71
SOL/USDT,short,swing_low_continuation,2022-06-03 13:00:00+00:00,2022-06-04 02:00:00+00:00,37.88,36.32268815,41624.62,1711.2596,0.8094,tp,26
SOL/USDT,short,swing_low_continuation,2022-06-04 02:30:00+00:00,2022-06-04 14:30:00+00:00,36.07,38.15932544,42223.56,-2445.7654,-1.0,sl,24
ETH/USDT,short,swing_low_continuation,2022-06-01 20:30:00+00:00,2022-06-06 01:30:00+00:00,1785.7,1865.62208922,40143.03,-1796.6707,-1.0,sl,202
SOL/USDT,short,swing_low_continuation,2022-06-07 11:30:00+00:00,2022-06-07 19:30:00+00:00,37.95,40.31060893,40738.71,-2534.0754,-1.0,sl,16
ETH/USDT,short,swing_low_continuation,2022-06-10 16:30:00+00:00,2022-06-11 08:30:00+00:00,1674.95,1635.54627074,39851.79,937.526,0.6028,tp,32
SOL/USDT,short,swing_low_continuation,2022-06-11 09:00:00+00:00,2022-06-11 11:30:00+00:00,36.62,35.37960552,40179.92,1360.9763,0.7774,tp,5
BTC/USDT,short,swing_low_continuation,2022-06-10 19:30:00+00:00,2022-06-11 13:00:00+00:00,29044.27,28426.94130361,39851.79,847.0398,0.9844,tp,35
ETH/USDT,short,swing_low_continuation,2022-06-11 09:00:00+00:00,2022-06-11 14:30:00+00:00,1578.19,1534.65027788,40179.92,1108.4993,0.8,tp,11
BTC/USDT,short,swing_low_continuation,2022-06-11 14:30:00+00:00,2022-06-12 02:00:00+00:00,28622.76,27874.38956381,40952.73,1070.7497,1.4939,tp,23
SOL/USDT,short,swing_low_continuation,2022-06-11 14:30:00+00:00,2022-06-12 02:00:00+00:00,34.79,32.45709752,40952.73,2746.1548,2.0489,tp,23
SOL/USDT,short,swing_low_continuation,2022-06-12 02:30:00+00:00,2022-06-12 14:30:00+00:00,32.17,33.93931956,42676.62,-2347.1737,-1.0,sl,24
ETH/USDT,short,swing_low_continuation,2022-06-12 02:30:00+00:00,2022-06-12 14:30:00+00:00,1471.68,1530.6380282,42676.62,-1709.6987,-1.0,sl,24
BTC/USDT,short,swing_low_continuation,2022-06-12 02:30:00+00:00,2022-06-12 15:00:00+00:00,27896.29,28245.24754339,42676.62,-533.8462,-1.0,sl,25
