symbol,model,direction,entry_ts,exit_ts,entry_price,exit_price,pnl
ETH/USDT,slc,short,2022-06-10 16:30:00+00:00,2022-06-11 08:30:00+00:00,1674.95,1635.5462707384333,952.8954011163611
SOL/USDT,slc,short,2022-06-11 09:00:00+00:00,2022-06-11 11:30:00+00:00,36.62,35.37960552079014,1383.2876996538014
BTC/USDT,slc,short,2022-06-10 19:30:00+00:00,2022-06-11 13:00:00+00:00,29044.27,28426.94130360825,860.9258575052537
ETH/USDT,slc,short,2022-06-11 09:00:00+00:00,2022-06-11 14:30:00+00:00,1578.19,1534.6502778758538,1126.671727436657
BTC/USDT,slc,short,2022-06-11 14:30:00+00:00,2022-06-12 02:00:00+00:00,28622.76,27874.389563812878,1088.303154354414
SOL/USDT,slc,short,2022-06-11 14:30:00+00:00,2022-06-12 02:00:00+00:00,34.79,32.45709751891744,2791.1741258267907
SOL/USDT,slc,short,2022-06-12 02:30:00+00:00,2022-06-12 14:30:00+00:00,32.17,33.93931955577028,-2385.652387051692
ETH/USDT,slc,short,2022-06-12 02:30:00+00:00,2022-06-12 14:30:00+00:00,1471.68,1530.638028196649,-1737.7268389577252
BTC/USDT,slc,short,2022-06-12 02:30:00+00:00,2022-06-12 15:00:00+00:00,27896.29,28245.247543385645,-542.5978741744701
BTC/USDT,slc,short,2022-06-12 22:30:00+00:00,2022-06-13 00:30:00+00:00,27229.96,26299.313122776915,1426.6687995511102
SOL/USDT,slc,short,2022-06-12 22:30:00+00:00,2022-06-13 01:00:00+00:00,31.91,29.46354610839755,3200.335237309167
BTC/USDT,slc,short,2022-06-13 01:00:00+00:00,2022-06-13 02:00:00+00:00,26307.16,25536.173866067853,1238.0040746044644
ETH/USDT,slc,short,2022-06-13 01:00:00+00:00,2022-06-13 03:00:00+00:00,1387.31,1323.1322431811843,1954.16166473708
BTC/USDT,slc,short,2022-06-13 02:30:00+00:00,2022-06-13 08:30:00+00:00,25784.81,24485.956241660548,2206.1235279937832
SOL/USDT,slc,short,2022-06-13 02:30:00+00:00,2022-06-13 08:30:00+00:00,29.29,26.413552957151772,4301.010647380424
BTC/USDT,slc,short,2022-06-13 09:00:00+00:00,2022-06-13 14:30:00+00:00,24182.6,23086.476950036933,2119.367587501969
