symbol,direction,entry_time,exit_time,entry_price,exit_price,size_usdt,pnl_usdt,exit_reason,r_multiple,regime
BTC/USDT,long,2024-10-24 16:00:00+00:00,2024-10-24 21:00:00+00:00,67735.060605,68379.97445284956,1309.4708551898264,10.110585623224422,partial_close,1.0,bull_trend
SOL/USDT,long,2024-10-24 16:00:00+00:00,2024-10-25 01:30:00+00:00,175.517715,175.517715,2683.318596539404,-4.829973473770927,stop_loss,0.0,bull_trend
BTC/USDT,long,2024-10-24 16:00:00+00:00,2024-10-25 04:00:00+00:00,67735.060605,67735.060605,2658.6226453854047,-4.7855207616937285,stop_loss,0.0,bull_trend
XRP/USDT,short,2024-10-25 08:00:00+00:00,2024-10-25 17:30:00+00:00,0.5236380500000001,0.519124474622067,1215.664610186987,8.290404048533903,partial_close,1.0,bear_trend
XRP/USDT,short,2024-10-25 08:00:00+00:00,2024-10-25 18:00:00+00:00,0.5236380500000001,0.5153967492441338,2468.167541894791,34.40266313523659,take_profit,1.8258919073686246,bear_trend
SOL/USDT,short,2024-10-25 20:00:00+00:00,2024-10-25 23:00:00+00:00,167.866025,163.20648732065746,1321.8239093778343,34.311216492145434,partial_close,1.0,bear_trend
ETH/USDT,short,2024-10-25 20:30:00+00:00,2024-10-25 23:00:00+00:00,2481.31872,2436.0604075744113,1295.9922641122182,21.30562132368339,partial_close,1.0,bear_trend
XRP/USDT,short,2024-10-25 20:00:00+00:00,2024-10-25 23:00:00+00:00,0.5149424,0.5071793163703,1216.2087080400497,16.14594280030163,partial_close,1.0,bear_trend
BNB/USDT,short,2024-10-25 20:00:00+00:00,2024-10-25 23:00:00+00:00,585.00735,577.4453503944183,1194.2248702878626,13.287343159166365,partial_close,1.0,bear_trend
BNB/USDT,short,2024-10-25 20:00:00+00:00,2024-10-25 23:30:00+00:00,585.00735,570.7613007888365,2424.6383730086905,54.68023828489227,take_profit,1.8838997559121924,bear_trend
ETH/USDT,short,2024-10-25 20:30:00+00:00,2024-10-25 23:30:00+00:00,2481.31872,2394.5259351488216,2631.2570210763215,87.30113774826944,take_profit,1.9177203081506469,bear_trend
XRP/USDT,short,2024-10-25 20:00:00+00:00,2024-10-25 23:30:00+00:00,0.5149424,0.5001890327405999,2469.272225414646,66.30124197611906,take_profit,1.90045192904488,bear_trend
XRP/USDT,short,2024-10-26 00:00:00+00:00,2024-10-26 05:00:00+00:00,0.5019489,0.5151263030295464,3688.7198531508175,-103.47773675549942,stop_loss,-1.0,bear_trend
SOL/USDT,short,2024-10-25 20:00:00+00:00,2024-10-26 06:30:00+00:00,167.866025,167.866025,2683.7030887368146,-4.830665559726266,stop_loss,-0.0,bear_trend
BNB/USDT,short,2024-10-26 00:00:00+00:00,2024-10-26 19:00:00+00:00,575.01235,585.6227743004395,3621.5240447424235,-73.34497184582008,stop_loss,-1.0,bear_trend
ETH/USDT,short,2024-10-26 00:00:00+00:00,2024-10-26 20:00:00+00:00,2439.409685,2503.1987338704516,3931.530719562855,-109.88384290660653,stop_loss,-1.0,bear_trend
BTC/USDT,short,2024-10-26 00:00:00+00:00,2024-10-27 15:00:00+00:00,66664.97084000001,67838.20855451062,3968.2430136736834,-76.97999936021405,stop_loss,-1.0,bear_trend
BTC/USDT,long,2024-10-28 08:30:00+00:00,2024-10-28 12:30:00+00:00,68488.76727,68986.9590506664,1308.4831061976486,7.162722258203257,partial_close,1.0,bull_trend
BTC/USDT,long,2024-10-28 08:30:00+00:00,2024-10-28 15:30:00+00:00,68488.76727,68488.76727,2656.617215613407,-4.781910988104133,stop_loss,0.0,bull_trend
