symbol,entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,regime,models_fired,score,exit_reason,duration_bars
BTC/USDT,2024-07-23 18:00:00+00:00,2024-07-24 07:00:00+00:00,64679.14772194,65789.91566476,0.06131621,62.1082,1.57,bull_trend,trend,0.8,take_profit,13
BTC/USDT,2024-07-24 15:00:00+00:00,2024-07-25 07:00:00+00:00,66731.48090885,68302.76723626,0.05946579,87.4153,2.2,volatility_expansion,momentum_breakout,0.5527,take_profit,16
BTC/USDT,2024-07-26 07:00:00+00:00,2024-07-27 20:00:00+00:00,69712.13571329,69057.94214706,0.05697172,-43.2,-1.09,bull_trend,trend,0.8,stop_loss,37
BTC/USDT,2024-07-28 08:00:00+00:00,2024-07-29 00:00:00+00:00,67916.94082619,65915.05621819,0.05845051,111.1443,2.8,volatility_expansion,momentum_breakout,0.675,take_profit,16
BTC/USDT,2024-07-29 02:00:00+00:00,2024-07-29 19:00:00+00:00,66357.25775942,64854.1753098,0.05988945,84.1252,2.12,bear_trend,trend,0.9833,take_profit,17
BTC/USDT,2024-07-29 20:00:00+00:00,2024-07-30 19:00:00+00:00,65512.05496128,66698.01828149,0.06071173,-78.0219,-1.96,bear_trend,trend,0.4755,stop_loss,23
BTC/USDT,2024-07-31 18:00:00+00:00,2024-08-01 02:00:00+00:00,67133.94851942,68856.98929231,0.05919673,95.9607,2.41,bull_trend,trend,0.6137,take_profit,8
BTC/USDT,2024-08-01 02:00:00+00:00,2024-08-01 08:00:00+00:00,68881.29143905,67725.786346,0.05774906,-72.646,-1.83,bull_trend,trend,0.7652,stop_loss,6
BTC/USDT,2024-08-01 08:00:00+00:00,2024-08-01 14:00:00+00:00,68872.20700968,71122.37626534,0.05771269,123.8037,3.11,bull_trend,trend,0.8088,take_profit,6
BTC/USDT,2024-08-02 00:00:00+00:00,2024-08-10 20:00:00+00:00,73256.02,68729.90657982,0.05432496,240.0959,6.03,volatility_expansion,liquidity_sweep,0.7473,take_profit,212
